population,unemployed,shape,year,district,districtNumber,foreigners,births
49169,1839.5,gesamt,2010,Untergiesing - Harlaching,18,9574,484
104150.2,6612,gesamt,2010,Ramersdorf - Perlach,16,29308,984
46777.9,1965.3,gesamt,2010,Ludwigsvorstadt-Isarvorstadt,10,12255,529
46777.9,1695.3,gesamt,2010,Ludwigsvorstadt-Isarvorstadt,10,12255,529
46533.9,1965.3,gesamt,2010,Hadern,2,12255,429
46533.9,1695.3,gesamt,2010,Hadern,2,12255,429
52260.3,2679,gesamt,2010,Sendling - Westpark,7,12220,482
51521.8,2130,gesamt,2010,Laim,25,11356,500
64319.6,2054.8,gesamt,2010,Schwabing - Freimann,12,14672,641
48434.4,2302.5,gesamt,2010,Obergiesing - Fasangarten,17,13665,500
47770,1902.8,gesamt,2011,Ludwigsvorstadt-Isarvorstadt,10,10419,577
47770,1555.5,gesamt,2011,Ludwigsvorstadt-Isarvorstadt,10,10419,577
47115.8,1902.8,gesamt,2011,Hadern,2,10419,407
47115.8,1555.5,gesamt,2011,Hadern,2,10419,407
38770.6,1741.5,gesamt,2011,Sendling,6,9678,467
65933.2,1932,gesamt,2011,Schwabing - Freimann,12,15521,638
90657.1,2634.3,gesamt,2011,Neuhausen-Nymphenburg,9,19848,1092
56775.2,2789.5,gesamt,2011,Feldmoching-Hasenbergl,24,15689,513
78391.7,1830.8,gesamt,2011,Bogenhausen,13,14913,731
69638.4,4169.3,gesamt,2011,Milbertshofen - Am Hart,11,25517,743
49183.9,1196,gesamt,2011,Maxvorstadt,3,11356,489
63130.3,1367.3,gesamt,2011,Schwabing-West,4,12882,678
49986.7,1744.8,gesamt,2011,Untergiesing - Harlaching,18,10179,476
52338.4,2081.3,gesamt,2011,Laim,25,12009,543
105297.5,6394,gesamt,2011,Ramersdorf - Perlach,16,30494,997
49897.6,2252,gesamt,2011,Obergiesing - Fasangarten,17,14509,543
84440.6,2553.3,gesamt,2011,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,19,17844,864
67185.4,1997.8,gesamt,2011,Pasing,21,12014,758
39353.2,1489,gesamt,2011,Aubing - Lochhausen - Langwied,22,8078,380
56842.3,1558.3,gesamt,2011,Au-Haidhausen,5,12423,750
29423,739.8,gesamt,2011,Allach-Untermenzing,23,4933,286
40903.5,2130.8,gesamt,2011,Berg am Laim,14,11358,480
47770,1902.8,gesamt,2011,Ludwigsvorstadt-Isarvorstadt,10,12614,577
47770,1555.5,gesamt,2011,Ludwigsvorstadt-Isarvorstadt,10,12614,577
47115.8,1902.8,gesamt,2011,Hadern,2,12614,407
47115.8,1555.5,gesamt,2011,Hadern,2,12614,407
48987.8,2424,gesamt,2011,Moosach,1,4356,469
48987.8,321,gesamt,2011,Moosach,1,4356,469
19474.4,2424,gesamt,2011,Altstadt-Lehel,1,4356,200
19474.4,321,gesamt,2011,Altstadt-Lehel,1,4356,200
52849.6,2624.8,gesamt,2011,Sendling - Westpark,7,12907,544
28241.3,1345.8,gesamt,2011,Schwanthalerhöhe,8,9603,351
48987.8,2424,gesamt,2011,Moosach,1,13418,469
48987.8,321,gesamt,2011,Moosach,1,13418,469
19474.4,2424,gesamt,2011,Altstadt-Lehel,1,13418,200
19474.4,321,gesamt,2011,Altstadt-Lehel,1,13418,200
64222,2198.5,gesamt,2011,Trudering-Riem,15,12173,738
65354,2209,gesamt,2012,Trudering-Riem,15,12466,704
86454.8,2465,gesamt,2012,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,19,18895,868
41789.8,2126.8,gesamt,2012,Berg am Laim,14,11933,489
19931.5,2308,gesamt,2012,Altstadt-Lehel,1,4729,198
19931.5,284.5,gesamt,2012,Altstadt-Lehel,1,4729,198
49801.9,2308,gesamt,2012,Moosach,1,4729,488
49801.9,284.5,gesamt,2012,Moosach,1,4729,488
47697.3,1828.5,gesamt,2012,Hadern,2,13604,448
47697.3,1486,gesamt,2012,Hadern,2,13604,448
49063,1828.5,gesamt,2012,Ludwigsvorstadt-Isarvorstadt,10,13604,565
49063,1486,gesamt,2012,Ludwigsvorstadt-Isarvorstadt,10,13604,565
58016.1,1479,gesamt,2012,Au-Haidhausen,5,13049,770
53914.5,2507.3,gesamt,2012,Sendling - Westpark,7,13829,562
51057.2,2133.8,gesamt,2012,Obergiesing - Fasangarten,17,14909,551
19931.5,2308,gesamt,2012,Altstadt-Lehel,1,14038,198
19931.5,284.5,gesamt,2012,Altstadt-Lehel,1,14038,198
49801.9,2308,gesamt,2012,Moosach,1,14038,488
49801.9,284.5,gesamt,2012,Moosach,1,14038,488
39315.6,1654,gesamt,2012,Sendling,6,10088,479
30031.3,732.8,gesamt,2012,Allach-Untermenzing,23,5396,306
80219.3,1707.8,gesamt,2012,Bogenhausen,13,16166,749
68650.8,1926.5,gesamt,2012,Pasing,21,12882,711
47697.3,1828.5,gesamt,2012,Hadern,2,10914,448
47697.3,1486,gesamt,2012,Hadern,2,10914,448
49063,1828.5,gesamt,2012,Ludwigsvorstadt-Isarvorstadt,10,10914,565
49063,1486,gesamt,2012,Ludwigsvorstadt-Isarvorstadt,10,10914,565
64336.3,1375.8,gesamt,2012,Schwabing-West,4,13462,707
71505.6,4096.3,gesamt,2012,Milbertshofen - Am Hart,11,27197,749
57770.7,2735.8,gesamt,2012,Feldmoching-Hasenbergl,24,16556,600
50127.3,1141.8,gesamt,2012,Maxvorstadt,3,12225,533
50833.5,1677.5,gesamt,2012,Untergiesing - Harlaching,18,10649,516
93601.6,2629.3,gesamt,2012,Neuhausen-Nymphenburg,9,21126,1133
67569.4,1919.3,gesamt,2012,Schwabing - Freimann,12,16605,698
52997.4,1981.8,gesamt,2012,Laim,25,12675,514
106715.9,6077.5,gesamt,2012,Ramersdorf - Perlach,16,31778,980
29153.2,1361.8,gesamt,2012,Schwanthalerhöhe,8,9814,371
40444.4,1502.3,gesamt,2012,Aubing - Lochhausen - Langwied,22,8806,403
65247.2,1347.3,gesamt,2013,Schwabing-West,4,14115,756
29478.1,1362,gesamt,2013,Schwanthalerhöhe,8,9974,333
41794.4,1566,gesamt,2013,Aubing - Lochhausen - Langwied,22,9435,467
51553,1731,gesamt,2013,Untergiesing - Harlaching,18,11400,588
72957.9,4053.3,gesamt,2013,Milbertshofen - Am Hart,11,28243,765
48449.6,1776,gesamt,2013,Hadern,2,14346,430
48449.6,1502.8,gesamt,2013,Hadern,2,14346,430
50188.7,1776,gesamt,2013,Ludwigsvorstadt-Isarvorstadt,10,14346,593
50188.7,1502.8,gesamt,2013,Ludwigsvorstadt-Isarvorstadt,10,14346,593
66605.1,2268,gesamt,2013,Trudering-Riem,15,13023,735
39752.8,1601.3,gesamt,2013,Sendling,6,10386,487
50934.8,2061.5,gesamt,2013,Obergiesing - Fasangarten,17,15047,638
81399.5,1722,gesamt,2013,Bogenhausen,13,17126,835
107656.2,5939,gesamt,2013,Ramersdorf - Perlach,16,32946,1011
30681.6,771,gesamt,2013,Allach-Untermenzing,23,5653,312
68910.6,2002,gesamt,2013,Schwabing - Freimann,12,17687,713
55123.3,2378.8,gesamt,2013,Sendling - Westpark,7,14445,625
20257.8,2392.5,gesamt,2013,Altstadt-Lehel,1,14805,218
20257.8,291.3,gesamt,2013,Altstadt-Lehel,1,14805,218
51036.8,2392.5,gesamt,2013,Moosach,1,14805,561
51036.8,291.3,gesamt,2013,Moosach,1,14805,561
53690,1998.3,gesamt,2013,Laim,25,13392,566
42671.4,2200.3,gesamt,2013,Berg am Laim,14,12433,527
59403.4,1482.3,gesamt,2013,Au-Haidhausen,5,13629,828
70068.3,2011.5,gesamt,2013,Pasing,21,13822,755
95235.9,2616.3,gesamt,2013,Neuhausen-Nymphenburg,9,22083,1203
51290.3,1123,gesamt,2013,Maxvorstadt,3,12878,573
20257.8,2392.5,gesamt,2013,Altstadt-Lehel,1,5053,218
20257.8,291.3,gesamt,2013,Altstadt-Lehel,1,5053,218
51036.8,2392.5,gesamt,2013,Moosach,1,5053,561
51036.8,291.3,gesamt,2013,Moosach,1,5053,561
48449.6,1776,gesamt,2013,Hadern,2,11715,430
48449.6,1502.8,gesamt,2013,Hadern,2,11715,430
50188.7,1776,gesamt,2013,Ludwigsvorstadt-Isarvorstadt,10,11715,593
50188.7,1502.8,gesamt,2013,Ludwigsvorstadt-Isarvorstadt,10,11715,593
58893.5,2739,gesamt,2013,Feldmoching-Hasenbergl,24,17522,528
89008.6,2484.3,gesamt,2013,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,19,21642,904
54386.8,2005.5,gesamt,2014,Laim,25,14049,582
