algIIRate,population,unemployed,shape,year,district,districtNumber,foreignerPercent,foreigners,birthRate,births
3.8,30681.6,771,gesamt,2013,Allach-Untermenzing,23,18.4,5653,10.2,312
4,68910.6,2002,gesamt,2013,Schwabing-Freimann,12,25.4,17687,10.3,713
6.2,55123.3,2378.8,gesamt,2013,Sendling-Westpark,7,26.1,14445,11.3,625
5.3,53690,1998.3,gesamt,2013,Laim,25,24.8,13392,10.5,566
7.3,42671.4,2200.3,gesamt,2013,Berg am Laim,14,28.9,12433,12.4,527
3.3,59403.4,1482.3,gesamt,2013,Au-Haidhausen,5,22.8,13629,13.9,828
4.3,70068.3,2011.5,gesamt,2013,Pasing-Obermenzing,21,19.5,13822,10.8,755
3.8,95235.9,2616.3,gesamt,2013,Neuhausen-Nymphenburg,9,23,22083,12.6,1203
2.7,51290.3,1123,gesamt,2013,Maxvorstadt,3,24.9,12878,11.2,573
7,58893.5,2739,gesamt,2013,Feldmoching-Hasenbergl,24,29.5,17522,9,528
4.2,89008.6,2484.3,gesamt,2013,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,19,23.8,21642,10.2,904
5.3,54386.8,2005.5,gesamt,2014,Laim,25,25.7,14049,10.7,582
3.3,60261.1,1482,gesamt,2014,Au-Haidhausen,5,23.4,14225,14.3,861
4.3,90468.6,2577,gesamt,2014,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,19,23.8,21777,10.4,938
5,67518.7,2265,gesamt,2014,Trudering-Riem,15,20.2,13747,11.4,771
5.8,29874.7,1313,gesamt,2014,Schwanthalerhoehe,8,34,10230,12.4,370
6.1,55910.8,2385.8,gesamt,2014,Sendling-Westpark,7,27.2,15354,10.8,606
5.4,52061.6,2057.3,gesamt,2014,Obergiesing-Fasangarten,17,30.1,15858,11.7,608
4.8,52186.8,1728.8,gesamt,2014,Untergiesing-Harlaching,18,22.6,11839,11.1,581
2.8,66527.2,1358.3,gesamt,2014,Schwabing-West,4,22.3,14959,12.1,807
7.4,74200.4,3968.8,gesamt,2014,Milbertshofen-Am Hart,11,39.2,29253,10.9,809
8.1,109031.8,5880,gesamt,2014,Ramersdorf-Perlach,16,31.5,34699,10.1,1102
5.6,42613.6,1554.5,gesamt,2014,Aubing-Lochhausen-Langwied,22,23.3,9996,9.7,414
2.7,52026.5,1148.5,gesamt,2014,Maxvorstadt,3,26,13671,10.4,540
4.1,31081.9,848.3,gesamt,2014,Allach-Untermenzing,23,19.5,6116,10.9,339
3.9,96757.2,2683.3,gesamt,2014,Neuhausen-Nymphenburg,9,23.9,23309,12.8,1243
3.2,83088.6,1757.8,gesamt,2014,Bogenhausen,13,21.8,18286,10.7,891
4.4,71401.1,2076.5,gesamt,2014,Pasing-Obermenzing,21,20.5,14754,10.6,757
7.4,43516.1,2247,gesamt,2014,Berg am Laim,14,29.9,13141,11.7,511
5.5,40274.5,1653.5,gesamt,2014,Sendling,6,26.7,10810,12.2,493
6.9,59889.6,2768.8,gesamt,2014,Feldmoching-Hasenbergl,24,30.4,18347,10.4,623
4.1,71616.4,2151.8,gesamt,2014,Schwabing-Freimann,12,27.3,19608,10.8,777
2.9,67787.3,1413.5,gesamt,2015,Schwabing-West,4,23,15781,12.8,866
5.6,40632.8,1696.3,gesamt,2015,Sendling,6,27.3,11142,13,528
7.6,75038.8,4133.3,gesamt,2015,Milbertshofen-Am Hart,11,40.2,30362,10.9,818
4.6,52703.5,1671,gesamt,2015,Untergiesing-Harlaching,18,24.2,12929,10.6,557
5.5,30198.9,1261.8,gesamt,2015,Schwanthalerhoehe,8,34.5,10492,12.5,377
6.3,57496.3,2508.8,gesamt,2015,Sendling-Westpark,7,28.5,16625,11.3,648
5.4,53780.9,2108.3,gesamt,2015,Obergiesing-Fasangarten,17,30.9,16823,12.1,650
7.3,44509.1,2270.3,gesamt,2015,Berg am Laim,14,31.2,14044,11.6,515
3.9,98198,2721.3,gesamt,2015,Neuhausen-Nymphenburg,9,24.6,24264,12.4,1215
4.3,31584.7,893,gesamt,2015,Allach-Untermenzing,23,21,6688,11.1,351
5.6,43042.3,1567,gesamt,2015,Aubing-Lochhausen-Langwied,22,24.4,10640,11.5,496
4.3,73431.4,2345.8,gesamt,2015,Schwabing-Freimann,12,29.4,22068,10.6,777
4.4,92552.1,2674.8,gesamt,2015,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,19,25.1,23464,11.8,1089
3.3,61266.8,1488.5,gesamt,2015,Au-Haidhausen,5,24.1,14814,13.7,837
5.1,69017.7,2360.5,gesamt,2015,Trudering-Riem,15,21.3,14849,11,756
5.3,55084.6,2052.8,gesamt,2015,Laim,25,26.7,14759,10.5,580
8.1,111142.1,5943,gesamt,2015,Ramersdorf-Perlach,16,32.7,36798,10,1109
3.2,84874.1,1803.8,gesamt,2015,Bogenhausen,13,23.6,20257,10.6,903
2.6,52969.8,1090.3,gesamt,2015,Maxvorstadt,3,27.8,14937,12.3,653
4.6,72556.3,2234,gesamt,2015,Pasing-Obermenzing,21,21.9,16077,11,801
7.1,60855.9,2905.8,gesamt,2015,Feldmoching-Hasenbergl,24,31.8,19543,10.6,644
7.1,18800.8,2338.5,gesamt,2006,Altstadt-Lehel,1,25,11942,9.3,174
7.3,19072.8,2422,gesamt,2007,Altstadt-Lehel,1,25.2,12192,10.5,200
7,19354.8,2322.5,gesamt,2008,Altstadt-Lehel,1,25.5,12352,10.6,205
7.3,19053.4,2424.3,gesamt,2009,Altstadt-Lehel,1,26,12679,11.6,221
7.5,19045.7,2498.5,gesamt,2010,Altstadt-Lehel,1,26,12567,12.8,244
7.2,19474.4,2424,gesamt,2011,Altstadt-Lehel,1,27.2,13418,10.3,200
6.7,19931.5,2308,gesamt,2012,Altstadt-Lehel,1,27.9,14038,9.9,198
6.8,20257.8,2392.5,gesamt,2013,Altstadt-Lehel,1,28.7,14805,10.8,218
6.9,20647,2510.5,gesamt,2014,Altstadt-Lehel,1,29.6,15606,10.4,214
6.9,20969.3,2534.5,gesamt,2015,Altstadt-Lehel,1,30.3,16120,12.5,263
5.2,44661.3,1875.8,gesamt,2006,Hadern,2,28,12797,9.2,413
6.4,45468.1,1899,gesamt,2007,Hadern,2,27.6,12824,9,407
6.1,46137.5,1851,gesamt,2008,Hadern,2,27.4,13042,8.7,400
6.2,46309.5,1871,gesamt,2009,Hadern,2,25.7,11944,9.3,429
6.5,46533.9,1965.3,gesamt,2010,Hadern,2,25.9,12255,9.2,429
6.2,47115.8,1902.8,gesamt,2011,Hadern,2,26.2,12614,8.6,407
5.9,47697.3,1828.5,gesamt,2012,Hadern,2,27.4,13604,9.4,448
5.6,48449.6,1776,gesamt,2013,Hadern,2,28.3,14346,8.9,430
5.5,49434.8,1769.3,gesamt,2014,Hadern,2,30.2,15778,9.1,452
5.4,49940.7,1752,gesamt,2015,Hadern,2,31.7,17138,9.1,452
5.2,45002.6,1875.8,gesamt,2006,Ludwigsvorstadt-Isarvorstadt,2,28,12797,11.2,503
6.4,46103.2,1899,gesamt,2007,Ludwigsvorstadt-Isarvorstadt,2,27.6,12824,11.2,517
6.1,47159.2,1851,gesamt,2008,Ludwigsvorstadt-Isarvorstadt,2,27.4,13042,12.2,573
6.2,46713.2,1871,gesamt,2009,Ludwigsvorstadt-Isarvorstadt,2,25.7,11944,12.2,572
6.5,46777.9,1965.3,gesamt,2010,Ludwigsvorstadt-Isarvorstadt,2,25.9,12255,11.3,529
6.2,47770,1902.8,gesamt,2011,Ludwigsvorstadt-Isarvorstadt,2,26.2,12614,12.1,577
5.9,49063,1828.5,gesamt,2012,Ludwigsvorstadt-Isarvorstadt,2,27.4,13604,11.5,565
5.6,50188.7,1776,gesamt,2013,Ludwigsvorstadt-Isarvorstadt,2,28.3,14346,11.8,593
5.5,51320.1,1769.3,gesamt,2014,Ludwigsvorstadt-Isarvorstadt,2,30.2,15778,11.6,597
5.4,53231.2,1752,gesamt,2015,Ludwigsvorstadt-Isarvorstadt,2,31.7,17138,12.1,646
7.1,47543.3,2338.5,gesamt,2006,Moosach,1,25,11942,10.1,480
7.3,48050.6,2422,gesamt,2007,Moosach,1,25.2,12192,9.9,474
7,48368.6,2322.5,gesamt,2008,Moosach,1,25.5,12352,10.1,490
7.3,48200.7,2424.3,gesamt,2009,Moosach,1,26,12679,10.4,499
7.5,48435.1,2498.5,gesamt,2010,Moosach,1,26,12567,10.4,506
7.2,48987.8,2424,gesamt,2011,Moosach,1,27.2,13418,9.6,469
6.7,49801.9,2308,gesamt,2012,Moosach,1,27.9,14038,9.8,488
6.8,51036.8,2392.5,gesamt,2013,Moosach,1,28.7,14805,11,561
6.9,52226.7,2510.5,gesamt,2014,Moosach,1,29.6,15606,10.8,564
6.9,53108.8,2534.5,gesamt,2015,Moosach,1,30.3,16120,11.5,612
